Dombivli,,,20:23,20:27,20:30,,,20:09,20:34,20:13,20:38,,20:17,20:20,20:24,20:27,20:45,20:49,20:52,20:55,20:59,20:41,,,20:44
Thakurli,,,20:27,,20:34,,,…,20:38,…,20:42,,…,…,…,…,20:49,,20:56,20:59,21:03,…,,,…
Kalyan,,,20:33,,20:41,,,20:16,20:45,20:24,20:49,,20:27,20:30,20:32,20:36,20:55,,21:03,21:07,21:09,20:49,,,20:53
Vithalwadi,,,,,20:45,,,20:20,,,,,20:31,20:35,,,,,21:07,21:11,,20:53,,,
Ulhas Nagar,,,,,20:48,,,20:23,,,,,20:34,20:38,,,,,21:10,21:14,,20:56,,,
Ambernath,,,,,20:52,,,20:27,,,,,20:38,20:44,,,,,21:16,21:21,,21:01,,,
Badlapur,,,,,20:59,,,20:35,,,,,20:48,,,,,,,21:29,,,,,
Vangani,,,,,21:08,,,,,,,,,,,,,,,,,,,,
Shelu,,,,,21:12,,,,,,,,,,,,,,,,,,,,
Neral,,,,,21:16,,,,,,,,,,,,,,,,,,,,
Bhivpuri Road,,,,,21:23,,,,,,,,,,,,,,,,,,,,
Karjat,,,,,21:32,21:42,,,,,,,,,,,,,,,,,,,
Palasdhari,,,,,,21:47,,,,,,,,,,,,,,,,,,,
Kelavli,,,,,,21:54,,,,,,,,,,,,,,,,,,,
Dolavli,,,,,,21:57,,,,,,,,,,,,,,,,,,,
Lowjee,,,,,,22:01,,,,,,,,,,,,,,,,,,,
Khopoli,,,,,,22:07,,,,,,,,,,,,,,,,,,,
Shahad,,,,,,,,,,20:29,,,,,,20:41,,,,,,,,,20:58
