Thane,22:03,22:07,22:11,22:15,22:07,22:19,22:23,22:27,,22:35,22:31,22:39,22:43,22:47,22:51,,22:42,22:55,22:46,22:59,23:03,23:10,23:15,23:19,23:05
Kalva,22:08,22:12,22:16,22:20,…,22:24,22:28,22:32,,22:40,22:36,22:44,22:48,22:53,22:57,,…,23:01,…,23:05,,23:15,,23:24,…
Mumbra,22:14,22:18,22:22,22:26,…,22:30,22:34,22:38,,22:46,22:42,22:50,22:54,22:59,23:03,,…,23:07,…,23:11,,23:21,,23:30,…
Diva,22:18,22:22,22:26,22:30,…,22:34,22:38,22:42,,22:50,22:46,22:54,22:58,23:03,23:07,,…,23:11,…,23:15,,23:25,,23:34,…
Kopar,22:23,22:27,22:31,22:35,…,22:39,22:43,22:47,,22:55,22:51,22:59,23:03,23:08,23:12,,…,23:16,…,23:20,,23:30,,23:39,…
Dombivli,22:26,22:31,22:35,22:39,22:22,22:43,22:47,22:51,,22:59,22:55,23:03,23:07,23:12,23:16,,22:57,23:20,23:01,23:24,,23:34,,23:43,23:21
Thakurli,22:30,,22:39,22:43,…,22:47,22:51,22:55,,23:03,22:59,23:07,23:11,23:16,23:20,,…,23:24,…,23:28,,23:38,,23:47,…
Kalyan,22:36,,22:45,22:49,22:31,22:53,22:58,23:03,,23:09,23:05,23:13,23:17,23:22,23:26,,23:06,23:30,23:10,23:34,,23:44,,23:52,23:31
Vithalwadi,22:41,,,,22:35,,23:02,,,23:14,,23:18,,,,,23:10,,,,,,,,23:36
Ulhas Nagar,22:44,,,,22:38,,23:05,,,23:17,,23:21,,,,,23:13,,,,,,,,23:39
Ambernath,22:48,,,,22:42,,23:09,,,23:21,,23:25,,,,,23:17,,,,,,,,23:43
Badlapur,22:56,,,,22:49,,23:17,,,,,23:33,,,,,23:24,,,,,,,,23:52
Vangani,,,,,22:57,,,,,,,,,,,,23:32,,,,,,,,
Shelu,,,,,23:01,,,,,,,,,,,,23:36,,,,,,,,
Neral,,,,,23:05,,,,,,,,,,,,23:40,,,,,,,,
Bhivpuri Road,,,,,23:12,,,,,,,,,,,,23:47,,,,,,,,
Karjat,,,,,23:22,,,,,,,,,,,,23:58,,,,,,,,
Palasdhari,,,,,,,,,,,,,,,,,0:03,,,,,,,,
Kelavli,,,,,,,,,,,,,,,,,0:10,,,,,,,,
Dolavli,,,,,,,,,,,,,,,,,0:13,,,,,,,,
Lowjee,,,,,,,,,,,,,,,,,0:17,,,,,,,,
Khopoli,,,,,,,,,,,,,,,,,0:23,,,,,,,,
Shahad,,,,22:53,,,,23:08,,,,,,,,,,23:34,,,,,,,
Ambivli,,,,22:56,,,,23:11,,,,,,,,,,23:37,,,,,,,
Titwala,,,,23:04,,,,23:17,,,,,,,,,,23:45,,,,,,,
Khadavli,,,,,,,,23:24,,,,,,,,,,,,,,,,,
Vasind,,,,,,,,23:31,,,,,,,,,,,,,,,,,
Asangaon,,,,,,,,23:37,,,,,,,,,,,,,,,,,
Atgaon,,,,,,,,23:46,,,,,,,,,,,,,,,,,
Thansit,,,,,,,,23:51,,,,,,,,,,,,,,,,,
Khardi,,,,,,,,23:56,,,,,,,,,,,,,,,,,
Umbermalli,,,,,,,,0:02,,,,,,,,,,,,,,,,,
Kasara,,,,,,,,0:13,,,,,,,,,,,,,,,,,
