Ambivli,,,18:41,,,,,,,,18:58,,,,,19:10,,,,,,,,,
Titwala,,,18:49,,,,,,,,19:05,,,,,19:20,,,,,,,,,
Khadavli,,,,,,,,,,,19:12,,,,,,,,,,,,,,
Vasind,,,,,,,,,,,19:19,,,,,,,,,,,,,,
Asangaon,,,,,,,,,,,19:29,,,,,,,,,,,,,,
Atgaon,,,,,,,,,,,,,,,,,,,,,,,,,
Thansit,,,,,,,,,,,,,,,,,,,,,,,,,
Khardi,,,,,,,,,,,,,,,,,,,,,,,,,
Umbermalli,,,,,,,,,,,,,,,,,,,,,,,,,
Kasara,,,,,,,,,,,,,,,,,,,,,,,,,
