Ghatkopar,12:01,12:04,12:08,12:02,12:11,12:15,12:06,12:20,12:14,12:24,12:28,12:32,12:37,12:41,12:42,,12:49,12:54,12:45,12:58,12:50,13:01,12:54,13:06,13:12
Vikhroli,12:05,12:08,12:12,…,12:15,12:19,…,12:24,…,12:28,12:32,12:36,12:41,12:45,…,,12:53,12:58,…,13:02,…,13:05,…,13:10,13:16
Kanjur Marg,12:08,12:11,12:15,…,12:18,12:22,…,12:27,…,12:31,12:35,12:39,12:44,12:48,…,,12:56,13:01,…,13:05,…,13:08,…,13:13,13:19
Bhandup,12:11,12:14,12:18,12:10,12:21,12:25,…,12:30,…,12:34,12:38,12:42,12:47,12:51,…,,12:59,13:04,…,13:08,…,13:11,…,13:16,13:22
Nahur,12:14,12:17,12:21,…,12:24,12:28,…,12:33,…,12:37,12:41,12:45,12:50,12:54,…,,13:02,13:07,…,13:11,…,13:14,…,13:19,13:25
Mulund,12:17,12:21,12:24,…,12:27,12:31,12:18,12:36,…,12:40,12:44,12:48,12:53,12:57,…,,13:05,13:10,…,13:14,…,13:17,13:06,13:22,13:28
Thane,12:23,12:27,12:30,12:17,12:33,12:37,12:22,12:40,12:30,12:45,12:49,12:53,12:58,13:02,12:57,13:06,13:10,13:15,13:01,13:20,13:06,13:23,13:12,13:27,13:33
Kalva,12:28,12:32,12:35,…,,12:42,…,,…,12:50,12:54,12:58,13:03,13:07,…,13:11,13:15,13:20,…,,…,13:28,…,13:32,13:38
Mumbra,12:34,12:38,12:41,…,,12:48,…,,…,12:56,13:00,13:04,13:09,13:13,…,13:17,13:21,13:26,…,,…,13:34,…,13:38,13:44
Diva,12:38,12:42,12:45,…,,12:52,12:33,,…,13:00,13:04,13:08,13:13,13:17,…,13:21,13:25,13:30,…,,…,13:38,13:23,13:42,13:48
Kopar,12:43,12:47,12:50,…,,12:57,…,,…,13:05,13:09,13:13,13:18,13:22,…,13:26,13:30,13:35,…,,…,13:43,…,13:47,13:53
Dombivli,12:46,12:50,12:54,12:32,,13:00,12:38,,12:46,13:08,13:12,13:16,13:22,13:26,13:13,13:29,13:34,13:39,13:17,,13:22,13:46,13:29,13:50,13:57
Thakurli,12:50,,12:58,,,13:04,…,,…,13:12,13:16,13:20,,13:30,…,13:33,13:38,,…,,…,13:50,…,13:54,
Kalyan,12:56,,13:04,,,13:12,12:47,,12:54,13:18,13:23,13:28,,13:36,13:21,13:40,13:44,,13:25,,13:29,13:56,13:37,14:00,
Vithalwadi,,,,,,13:16,,,12:58,,,13:34,,,13:25,13:45,,,13:30,,,,,,
Ulhas Nagar,,,,,,13:19,,,13:01,,,13:37,,,13:28,13:48,,,13:33,,,,,,
Ambernath,,,,,,13:24,,,13:05,,,13:44,,,13:32,13:52,,,13:37,,,,,,
Badlapur,,,,,,,,,13:12,,,,,,13:39,13:59,,,13:44,,,,,,
Vangani,,,,,,,,,,,,,,,,,,,13:52,,,,,,
Shelu,,,,,,,,,,,,,,,,,,,13:56,,,,,,
Neral,,,,,,,,,,,,,,,,,,,14:00,,,,,,
Bhivpuri Road,,,,,,,,,,,,,,,,,,,14:07,,,,,,
Karjat,,,,,,,,,,,,,,,,,,,14:18,,,,,,
Palasdhari,,,,,,,,,,,,,,,,,,,14:23,,,,,,
Kelavli,,,,,,,,,,,,,,,,,,,14:30,,,,,,
Dolavli,,,,,,,,,,,,,,,,,,,14:33,,,,,,
Lowjee,,,,,,,,,,,,,,,,,,,14:37,,,,,,
Khopoli,,,,,,,,,,,,,,,,,,,14:43,,,,,,
Shahad,,,,,,,12:52,,,,13:27,,,,,,,,,,,,13:41,,
Ambivli,,,,,,,12:55,,,,13:30,,,,,,,,,,,,13:44,,
Titwala,,,,,,,13:01,,,,13:38,,,,,,,,,,,,13:50,,
Khadavli,,,,,,,13:08,,,,,,,,,,,,,,,,13:57,,
Vasind,,,,,,,13:15,,,,,,,,,,,,,,,,14:04,,
Asangaon,,,,,,,13:21,,,,,,,,,,,,,,,,14:10,,
Atgaon,,,,,,,13:30,,,,,,,,,,,,,,,,14:19,,
Thansit,,,,,,,13:35,,,,,,,,,,,,,,,,14:25,,
Khardi,,,,,,,13:40,,,,,,,,,,,,,,,,14:29,,
Umbermalli,,,,,,,13:46,,,,,,,,,,,,,,,,14:35,,
Kasara,,,,,,,13:58,,,,,,,,,,,,,,,,14:47,,
