Ghatkopar,,17:04,17:08,17:12,,17:18,17:07,17:22,17:15,17:26,,,17:30,17:33,17:36,17:39,17:43,17:46,17:41,17:50,17:45,…,17:54,17:58,17:51
Vikhroli,,17:08,17:12,17:16,,17:22,…,17:26,…,17:30,…,,17:34,17:37,17:40,17:43,17:47,17:50,…,17:54,…,17:52,17:58,18:02,…
Kanjur Marg,,17:11,17:15,17:19,,17:25,…,17:29,…,17:33,…,,17:37,17:40,17:43,17:46,17:50,17:53,…,17:57,…,…,18:01,18:05,…
Bhandup,,17:14,17:18,17:22,,17:28,…,17:32,…,17:36,…,,17:40,17:43,17:46,17:49,17:53,17:56,…,18:00,…,…,18:04,18:08,…
Nahur,,17:17,17:21,17:25,,17:31,…,17:35,…,17:39,…,,17:43,17:46,17:49,17:52,17:56,17:59,…,18:03,…,…,18:07,18:11,…
Mulund,,17:20,17:24,17:28,,17:34,…,17:38,…,17:42,…,,17:46,17:49,17:52,17:55,17:59,18:02,17:53,18:06,…,…,18:10,18:14,18:03
Thane,17:25,17:26,17:29,17:35,,17:40,17:23,17:44,17:31,17:48,17:35,17:48,17:52,17:55,17:58,18:00,18:05,18:08,17:57,18:12,18:01,18:04,18:15,18:20,18:07
Kalva,17:30,,17:34,,,17:45,…,17:49,17:37,,17:41,17:53,17:57,18:00,18:03,,18:10,,…,18:17,…,…,18:20,,18:13
Mumbra,17:36,,17:40,,,17:51,…,17:55,17:43,,17:47,17:59,18:03,18:06,18:09,,18:16,,…,18:23,…,…,18:26,,18:19
Diva,17:40,,17:44,,,17:55,17:34,17:59,17:47,,17:51,18:03,18:07,18:10,18:13,,18:20,,…,18:27,18:11,…,18:30,,18:23
Kopar,17:45,,17:49,,,18:00,…,18:04,17:52,,17:56,18:08,18:12,18:15,18:18,,18:25,,…,18:32,…,…,18:35,,18:28
Dombivli,17:48,,17:52,,,18:04,17:40,18:08,17:56,,18:00,18:12,18:16,18:19,18:22,,18:29,,18:12,18:35,18:17,18:20,18:38,,18:32
Thakurli,17:52,,,,,18:08,…,18:12,18:00,,18:04,18:16,,18:23,18:26,,,,…,18:39,…,…,18:42,,18:35
Kalyan,17:58,,,,,18:14,17:47,18:18,18:07,,18:10,18:23,,18:29,18:34,,,,18:18,18:46,18:26,18:28,18:49,,18:42
Vithalwadi,,,,,,,17:51,,,,18:14,18:27,,,,,,,,,,18:32,,,
Ulhas Nagar,,,,,,,17:54,,,,18:17,18:30,,,,,,,,,,18:35,,,
Ambernath,,,,,,,17:59,,,,18:23,18:34,,,,,,,,,,18:39,,,
Badlapur,,,,,,,18:07,,,,,18:41,,,,,,,,,,18:48,,,
Vangani,,,,,,,,,,,,18:50,,,,,,,,,,,,,
Shelu,,,,,,,,,,,,18:54,,,,,,,,,,,,,
Neral,,,,,,,,,,,,18:58,,,,,,,,,,,,,
Bhivpuri Road,,,,,,,,,,,,19:05,,,,,,,,,,,,,
Karjat,,,,,,,,,,,,19:14,,,,,,,,,,,,,
Palasdhari,,,,,,,,,,,,,,,,,,,,,,,,,
Kelavli,,,,,,,,,,,,,,,,,,,,,,,,,
Dolavli,,,,,,,,,,,,,,,,,,,,,,,,,
Lowjee,,,,,,,,,,,,,,,,,,,,,,,,,
Khopoli,,,,,,,,,,,,,,,,,,,,,,,,,
Shahad,,,,,,,,,18:12,,,,,,,,,,,,18:31,,,,
Ambivli,,,,,,,,,18:15,,,,,,,,,,,,18:34,,,,
Titwala,,,,,,,,,18:21,,,,,,,,,,,,18:40,,,,
Khadavli,,,,,,,,,18:28,,,,,,,,,,,,18:47,,,,
Vasind,,,,,,,,,18:35,,,,,,,,,,,,18:54,,,,
Asangaon,,,,,,,,,18:41,,,,,,,,,,,,19:02,,,,
Atgaon,,,,,,,,,18:50,,,,,,,,,,,,,,,,
Thansit,,,,,,,,,18:55,,,,,,,,,,,,,,,,
Khardi,,,,,,,,,19:00,,,,,,,,,,,,,,,,
Umbermalli,,,,,,,,,19:06,,,,,,,,,,,,,,,,
Kasara,,,,,,,,,19:18,,,,,,,,,,,,,,,,
