TRAIN,CSMT,MasjidSandhurst Road,BycullaChinchpokli,Currey RoadParel,DadarMatunga,SionKurla,VidyaviharGhatkopar,VikhroliKanjur Marg,BhandupNahur,MulundThane,KalvaMumbra,DivaKopar,DombivliThakurli,KalyanVithalwadi,Ulhas NagarAmbernath,BadlapurVangani,SheluNeral,Bhivpuri RoadKarjat,PalasdhariKelavli,DolavliLowjee,KhopoliShahad,AmbivliTitwala,KhadavliVasind,AsangaonAtgaon,ThansitKhardi,UmbermalliKasara
96603,,,,,,,,,,,,,,10:33,,,,,,,10:38,,,,,
96107,,,,,,,,,,,,,,,,,,,,,,,,,,
96503,,,,,,,,,,,,,,,,,,,,,,,,,,
96201,,,,09:48,,,,,,,,,10:51,,,,,,,,,,,,,
97003,,,,,,,,,,,,,,11:04,,,,,,,,,,,,
97005,,,,,,,,,,,,,,10:43,,,,,,,10:48,,,,11:39,
96405,,,,,,,,,,,,,,11:08,,,,,,,,,,,,
96505,,,,,,,,,,,,,,10:47,,,,,,,10:52,,,,,
96303,,,,,,,,,,,,,,,,,,,,,,,,,,
96301,,,,,,,,,,,,,,,,,,,,,,,,,,
97601,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,09:46,,,,,,,,,,,,,,,11:09,,,,,,,,,,
96101,09:49,,,,,,,,,,,,,,,,,,,,,,,,,
97301,,,,,,,,,,,,,,,,,,,,,,,,,,
96001,09:53,,,,,,,,,,,,,11:24,,,,,,,11:29,,,,,
96501,09:57,,,,,,,,,,,,,,,,,,,,,,,,,
96103,09:57,,,,,,,,,,,,,,,,,,,,,,,,,
97001,,,,,,,,,,,,,,,,,,12:00,,,12:25,,,,,
96601,10:00,,,,,,,,,,,,,,,,,,,,,,,,,
96403,10:04,,,,,,,,,,,,,11:07,,,,,,,,,,,,
97201,10:04,,,,,,,,,,,,,11:33,,,,,,,,,,,,
95001,10:08,,,,,,,,,,,,,,,11:32,,,,,,,,,,
97303,10:07,,,,,,,,,,,,,,,,,,,,,,,,,
96105,10:12,,,,,,,,,,,,,,,,,,,,,,,,,
96603,10:14,,,,,,,,,,,,,11:42,,,,,,,,,,,,
96107,10:16,,,,,,,,,,,,,11:21,,,,,,,11:26,,,,12:14,
96503,,,,,,,,,,,,,,,,,,,,,,,,,,
96201,10:20,,,,,,,,,,,,,,,11:46,,,,,,,,,,
