route_id,service_id,trip_id,direction_id
CL,DAILY,CR_DN_97225_1,0
CL,DAILY,CR_DN_95005_1,0
CL,DAILY,CR_DN_97359_1,0
CL,DAILY,CR_DN_95717_1,0
CL,DAILY,CR_DN_97075_1,0
CL,DAILY,CR_DN_95411_1,0
CL,DAILY,CR_DN_97077_1,0
CL,DAILY,CR_DN_97227_1,0
CL,DAILY,CR_DN_96627_1,0
CL,DAILY,CR_DN_96315_1,0
CL,DAILY,CR_DN_97079_1,0
CL,DAILY,CR_DN_97081_1,0
CL,DAILY,CR_DN_95719_1,0
CL,DAILY,CR_DN_95317_1,0
CL,DAILY,CR_DN_97361_1,0
CL,DAILY,CR_DN_97083_1,0
CL,DAILY,CR_DN_96629_1,0
CL,DAILY,CR_DN_97363_1,0
CL,DAILY,CR_DN_96407_1,0
CL,DAILY,CR_DN_95505_1,0
CL,DAILY,CR_DN_96317_1,0
CL,DAILY,CR_DN_95119_1,0
CL,DAILY,CR_DN_95227_1,0
CL,DAILY,CR_DN_97229_1,0
CL,DAILY,CR_DN_97085_1,0
CL,DAILY,CR_DN_96515_1,0
CL,DAILY,CR_DN_97365_1,0
CL,DAILY,CR_DN_95121_1,0
CL,DAILY,CR_DN_96011_1,0
CL,DAILY,CR_DN_97087_1,0
CL,DAILY,CR_DN_96631_1,0
CL,DAILY,CR_DN_97089_1,0
CL,DAILY,CR_DN_95229_1,0
CL,DAILY,CR_DN_96205_1,0
CL,DAILY,CR_DN_97231_1,0
CL,DAILY,CR_DN_97367_1,0
CL,DAILY,CR_DN_95909_1,0
CL,DAILY,CR_DN_97091_1,0
CL,DAILY,CR_DN_96633_1,0
CL,DAILY,CR_DN_97093_1,0
CL,DAILY,CR_DN_96207_1,0
CL,DAILY,CR_DN_95413_1,0
CL,DAILY,CR_DN_97095_1,0
CL,DAILY,CR_DN_97097_1,0
CL,DAILY,CR_DN_97369_1,0
CL,DAILY,CR_DN_96319_1,0
CL,DAILY,CR_DN_97099_1,0
CL,DAILY,CR_DN_95507_1,0
CL,DAILY,CR_DN_95123_1,0
CL,DAILY,CR_DN_97101_1,0
CL,DAILY,CR_DN_96409_1,0
CL,DAILY,CR_DN_96321_1,0
CL,DAILY,CR_DN_97103_1,0
